city_ascii,lat,lng,country
Singapore,1.293,103.8558,Singapore
Luanda,-8.8383,13.2344,Angola
Baghdad,33.3386,44.3939,Iraq
Barcelona,41.3833,2.1834,Spain
Haora,22.5804,88.3299,India
Shenyang,41.805,123.45,China
Khartoum,15.5881,32.5342,Sudan
Pune,18.53,73.85,India
Boston,42.3188,-71.0846, United States
Sydney,-33.92,151.1852,Australia
Saint Petersburg,59.939,30.316,Russia
Chittagong,22.33,91.8,Bangladesh
Dongguan,23.0489,113.7447,China
Riyadh,24.6408,46.7727,Saudi Arabia
Hanoi,21.0333,105.85,Vietnam
Guadalajara,20.67,-103.33,Mexico
Melbourne,-37.82,144.975,Australia
Alexandria,31.2,29.95,Egypt
Chengdu,30.67,104.07,China
Rangoon,16.7834,96.1667,Burma
Phoenix,33.5722,-112.0891, United States
Xi'an,34.275,108.895,China
Porto Alegre,-30.05,-51.2,Brazil
Surat,21.2,72.84,India
Hechi,23.0965,109.6091,China
Abidjan,5.32,-4.04,Côte D’Ivoire
Brasilia,-15.7833,-47.9161,Brazil
Ankara,39.9272,32.8644,Turkey
Monterrey,25.67,-100.33,Mexico
Yokohama,35.32,139.58,Japan
Nanjing,32.05,118.78,China
Montreal,45.5,-73.5833,Canada
Guiyang,26.58,106.72,China
Recife,-8.0756,-34.9156,Brazil
Seattle,47.6211,-122.3244, United States
Harbin,45.75,126.65,China
San Francisco,37.7562,-122.443, United States
Fortaleza,-3.75,-38.58,Brazil
Zhangzhou,24.5204,117.67,China
Detroit,42.3834,-83.1024, United States
Salvador,-12.97,-38.48,Brazil
Busan,35.0951,129.01,South Korea
Johannesburg,-26.17,28.03,South Africa
Berlin,52.5218,13.4015,Germany
Algiers,36.7631,3.0506,Algeria
Rome,41.896,12.4833,Italy
Pyongyang,39.0194,125.7547,"Korea, North"
Medellin,6.275,-75.575,Colombia
Kabul,34.5167,69.1833,Afghanistan
Athens,37.9833,23.7333,Greece
Nagoya,35.155,136.915,Japan
Cape Town,-33.92,18.435,South Africa
San Diego,32.8312,-117.1225, United States
Changchun,43.865,125.34,China
Casablanca,33.6,-7.6164,Morocco
Dalian,38.9228,121.6298,China
Cawnpore,26.46,80.32,India
Kano,12,8.52,Nigeria
Tel Aviv-Yafo,32.08,34.77,Israel
Addis Ababa,9.0333,38.7,Ethiopia
Curitiba,-25.42,-49.32,Brazil
Zibo,36.8,118.05,China
Jeddah (Jiddah),21.5169,39.2192,Saudi Arabia
Nairobi,-1.2833,36.8167,Kenya
Hangzhou,30.25,120.17,China
Benoni,-26.1496,28.3299,South Africa
Caracas,10.501,-66.917,Venezuela
Milan,45.47,9.205,Italy
Stuttgart,48.78,9.2,Germany
Kunming,25.07,102.68,China
Dar es Salaam,-6.8,39.2683,Tanzania
Minneapolis,44.9635,-93.2678, United States
Jaipur,26.9211,75.81,India
Taiyuan,37.875,112.5451,China
Frankfurt,50.1,8.675,Germany
Qingdao,36.09,120.33,China
Surabaya,-7.2492,112.7508,Indonesia
Lisbon,38.7227,-9.1449,Portugal
Tampa,27.9942,-82.4451, United States
Jinan,36.675,116.995,China
Fukuoka,33.595,130.41,Japan
Campinas,-22.9,-47.1,Brazil
Denver,39.7621,-104.8759, United States
Kaohsiung,22.6333,120.2666,Taiwan
Quezon City,14.6504,121.03,Philippines
Katowice,50.2604,19.02,Poland
Aleppo,36.23,37.17,Syria
Durban,-29.865,30.98,South Africa
Kyiv,50.4334,30.5166,Ukraine
Lucknow (Lakhnau),26.855,80.915,India
Giza,30.01,31.19,Egypt
Zhengzhou,34.755,113.6651,China
Taichung,24.1521,120.6817,Taiwan
Brooklyn,40.6501,-73.9496, United States
Ibadan,7.38,3.93,Nigeria
Faisalabad,31.41,73.11,Pakistan
Fuzhou,26.08,119.3,China
Changsha,28.2,112.97,China
Dakar,14.7158,-17.4731,Senegal
Izmir,38.4361,27.1518,Turkey
Xiangtan,27.8504,112.9,China
Lanzhou,36.056,103.792,China
Incheon,37.4761,126.6422,South Korea
Sapporo,43.075,141.34,Japan
Xiamen,24.45,118.08,China
Guayaquil,-2.22,-79.92,Ecuador
George Town,5.4136,100.3294,Malaysia
Mashhad,36.27,59.57,Iran
Damascus,33.5,36.3,Syria
Daegu,35.8668,128.607,South Korea
Nagpur,21.17,79.09,India
Lianshan,40.7503,120.83,China
Shijiazhuang,38.05,114.48,China
Tunis,36.8028,10.1797,Tunisia
Vienna,48.2,16.3666,Austria
Jilin,43.85,126.55,China
Omdurman,15.6167,32.48,Sudan
Bandung,-6.95,107.57,Indonesia
Bekasi,-6.2173,106.9723,Indonesia
Mannheim,49.5004,8.47,Germany
Nanchang,28.68,115.88,China
Wenzhou,28.02,120.6501,China
Queens,40.7498,-73.7976, United States
Vancouver,49.2734,-123.1216,Canada
Birmingham,52.475,-1.92,United Kingdom
Cali,3.4,-76.5,Colombia
Naples,40.84,14.245,Italy
Sendai,38.2871,141.0217,Japan
Manchester,53.5004,-2.248,United Kingdom
Puebla,19.05,-98.2,Mexico
Tripoli,32.8925,13.18,Libya
Tashkent,41.3117,69.2949,Uzbekistan
Havana,23.132,-82.3642,Cuba
Gaoping,30.7804,106.13,China
Baltimore,39.3051,-76.6144, United States
Nanning,22.82,108.32,China
Belem,-1.45,-48.48,Brazil
Patna,25.625,85.13,India
Santo Domingo,18.4701,-69.9001,Dominican Republic
Urumqi,43.805,87.575,China
Zaozhuang,34.88,117.57,China
Baku,40.3953,49.8622,Azerbaijan
Accra,5.55,-0.2167,Ghana
Yantai,37.5304,121.4,China
Medan,3.58,98.65,Indonesia
Santa Cruz,-17.7539,-63.226,Bolivia
Tongshan,34.28,117.18,China
Riverside,33.9381,-117.3948, United States
Linyi,35.08,118.33,China
Saint Louis,38.6358,-90.2451, United States
Las Vegas,36.2333,-115.2654, United States
Maracaibo,10.73,-71.66,Venezuela
Kuwait City,29.3697,47.9783,Kuwait
Ad Dammam,26.4282,50.0997,Saudi Arabia
Portland,45.5371,-122.65, United States
Haikou,20.05,110.32,China
Hiroshima,34.3878,132.4429,Japan
Baotou,40.6522,109.822,China
Hefei,31.85,117.28,China
Indore,22.7151,75.865,India
Goiania,-16.72,-49.3,Brazil
Sanaa,15.3547,44.2066,Yemen
San Antonio,29.4658,-98.5254, United States
Port-au-Prince,18.541,-72.336,Haiti
Haiphong,20.83,106.6801,Vietnam
Suzhou,33.6361,116.9789,China
Nanyang,33.0004,112.53,China
Bucharest,44.4334,26.0999,Romania
Ningbo,29.88,121.55,China
Douala,4.0604,9.71,Cameroon
Tangshan,39.6243,118.1944,China
Tainan,23,120.2,Taiwan
Xiping,40.08,113.3,China
Asuncion,-25.2964,-57.6415,Paraguay
Saidu Sharif,34.75,72.35,Pakistan
Brisbane,-27.455,153.0351,Australia
Rawalpindi,33.6,73.04,Pakistan
Sacramento,38.5667,-121.4683, United States
Beirut,33.872,35.5097,Lebanon
San Jose,37.3021,-121.8489, United States
Minsk,53.9,27.5666,Belarus
Kyoto,35.03,135.75,Japan
Barranquilla,10.96,-74.8,Colombia
Orlando,28.4772,-81.3369, United States
Shuyangzha,34.1299,118.7734,China
Valencia,10.23,-67.98,Venezuela
Hamburg,53.55,10,Germany
Vadodara,22.31,73.18,India
Manaus,-3.1,-60,Brazil
Shangqiu,34.4504,115.65,China
Wuxi,31.58,120.3,China
Palembang,-2.98,104.75,Indonesia
Brussels,50.8333,4.3333,Belgium
Essen,51.45,7.0166,Germany
Cleveland,41.4767,-81.6805, United States
Bhopal,23.25,77.41,India
Hohhot,40.82,111.66,China
Pittsburgh,40.4396,-79.9763, United States
Luoyang,34.68,112.4701,China
Santos,-23.9537,-46.3329,Brazil
Jingling,30.6501,113.16,China
Warsaw,52.25,21,Poland
Rabat,34.0253,-6.8361,Morocco
Vitoria,-20.324,-40.366,Brazil
Quito,-0.215,-78.5001,Ecuador
Antananarivo,-18.9166,47.5166,Madagascar
Coimbatore,11,76.95,India
Daqing,46.58,125,China
Lu'an,31.7503,116.48,China
Sanzhou,30.82,108.4,China
Budapest,47.5,19.0833,Hungary
Turin,45.0704,7.67,Italy
Suzhou,31.3005,120.62,China
Ludhiana,30.9278,75.8723,India
Cincinnati,39.1412,-84.506, United States
Kumasi,6.69,-1.63,Ghana
Manhattan,40.7834,-73.9662, United States
Qiqihar,47.345,123.99,China
Anshan,41.115,122.94,China
Austin,30.3006,-97.7517, United States
Zhongli,24.965,121.2168,Taiwan
Handan,36.58,114.48,China
Tai'an,36.2,117.1201,China
Esfahan,32.7,51.7,Iran
Kansas City,39.1239,-94.5541, United States
Yaounde,3.8667,11.5167,Cameroon
Shantou,23.37,116.67,China
Agra,27.1704,78.015,India
Zhanjiang,21.2,110.38,China
La Paz,-16.498,-68.15,Bolivia
Kalyan,19.2502,73.1602,India
Abuja,9.0833,7.5333,Nigeria
Harare,-17.8178,31.0447,Zimbabwe
Indianapolis,39.7771,-86.1458, United States
Xiantao,30.3704,113.44,China
Khulna,22.84,89.56,Bangladesh
Weifang,36.7204,119.1001,China
Tijuana,32.5,-117.08,Mexico
Santiago,19.5,-70.67,Dominican Republic
Xinyang,32.1304,114.07,China
Luzhou,28.88,105.38,China
Perth,-31.955,115.84,Australia
Toluca,19.3304,-99.67,Mexico
Vishakhapatnam,17.73,83.305,India
Leeds,53.83,-1.58,United Kingdom
Kobe,34.68,135.17,Japan
Columbus,39.986,-82.9851, United States
Multan,30.2,71.455,Pakistan
Kochi,10.015,76.2239,India
Montevideo,-34.858,-56.1711,Uruguay
Gujranwala,32.1604,74.185,Pakistan
Niteroi,-22.9,-43.1,Brazil
Ganzhou,25.92,114.95,China
Florence,43.78,11.25,Italy
Liuzhou,24.28,109.25,China
Bamako,12.65,-8,Mali
Conakry,9.5315,-13.6802,Guinea
Bursa,40.2,29.07,Turkey
Leon de los Aldama,21.15,-101.7,Mexico
Virginia Beach,36.7335,-76.0435, United States
Nasik,20.0004,73.78,India
Fushun,41.8654,123.87,China
Changde,29.03,111.68,China
Daejeon,36.3355,127.425,South Korea
Charlotte,35.2079,-80.8304, United States
Phnom Penh,11.55,104.9166,Cambodia
Neijiang,29.5804,105.05,China
Quanzhou,24.9,118.58,China
Kharkiv,50,36.25,Ukraine
Hyderabad City,25.38,68.375,Pakistan
Bronx,40.8501,-73.8662, United States
Lome,6.1319,1.2228,Togo
Cordoba,-31.4,-64.1823,Argentina
Huainan,32.63,116.98,China
Doha,25.2866,51.533,Qatar
Kuala Lumpur,3.1667,101.7,Malaysia
Maputo,-25.9553,32.5892,Mozambique
Kaduna,10.52,7.44,Nigeria
Gwangju,35.171,126.9104,South Korea
Kawanakajima,35.53,139.705,Japan
San Salvador,13.71,-89.203,El Salvador
Suining,30.5333,105.5333,China
Lyon,45.77,4.83,France
Karaj,35.8004,50.97,Iran
Kampala,0.3167,32.5833,Uganda
Tabriz,38.0863,46.3012,Iran
The Hague (Den Haag),52.08,4.27,Netherlands
Davao,7.11,125.63,Philippines
Marseille,43.29,5.375,France
Meerut,29.0004,77.7,India
Mianyang,31.47,104.77,China
Semarang,-6.9666,110.42,Indonesia
Faridabad,28.4333,77.3167,India
Novosibirsk,55.03,82.96,Russia
Mecca,21.43,39.82,Saudi Arabia
Dubai,25.23,55.28,United Arab Emirates
Milwaukee,43.0642,-87.9673, United States
Auckland,-36.8481,174.763,New Zealand
Ma'anshan,31.7304,118.48,China
Brazzaville,-4.2592,15.2847,Congo (Brazzaville)
Yiyang,28.6004,112.33,China
Varanasi,25.33,83,India
Lubumbashi,-11.68,27.48,Congo (Kinshasa)
Juarez,31.6904,-106.49,Mexico
Ghaziabad,28.6604,77.4084,India
Pretoria,-25.7069,28.2294,South Africa
Heze,35.23,115.45,China
Porto,41.15,-8.62,Portugal
Asansol,23.6833,86.9833,India
Lusaka,-15.4166,28.2833,Zambia
Changzhou,31.78,119.97,China
Mosul,36.345,43.145,Iraq
Yekaterinburg,56.85,60.6,Russia
Peshawar,34.005,71.535,Pakistan
Mandalay,21.97,96.085,Burma
Jamshedpur,22.7875,86.1975,India
Mbuji-Mayi,-6.15,23.6,Congo (Kinshasa)
Madura,9.92,78.12,India
Adana,36.995,35.32,Turkey
Sheffield,53.3667,-1.5,United Kingdom
Jabalpur,23.1751,79.9551,India
San Jose,9.935,-84.0841,Costa Rica
Panama City,8.968,-79.533,Panama
Nizhny Novgorod,56.333,44.0001,Russia
Chifeng,42.27,118.95,China
Duisburg,51.43,6.75,Germany
Munich,48.1299,11.575,Germany
Huaiyin,33.58,119.03,China
Stockholm,59.3508,18.0973,Sweden
Makassar,-5.14,119.432,Indonesia
Rajkot,22.31,70.8,India
Dhanbad,23.8004,86.42,India
Mudanjiang,44.575,129.59,China
Geneva,46.21,6.14,Switzerland
Shiraz,29.63,52.57,Iran
Huzhou,30.8704,120.1,China
Beidao,34.6,105.92,China
Shuangshui,26.5944,104.8333,China
Dusseldorf,51.2204,6.78,Germany
Gaozhou,21.9204,110.87,China
Seville (Sevilla),37.405,-5.98,Spain
Amritsar,31.64,74.87,India
Vila Velha,-20.3676,-40.318,Brazil
Vila Velha,3.2167,-51.2167,Brazil
Almaty,43.325,76.915,Kazakhstan
Providence,41.823,-71.4187, United States
Warangal,18.01,79.58,India
Rosario,-32.9511,-60.6663,Argentina
Allahabad,25.455,81.84,India
Benin City,6.3405,5.62,Nigeria
Jining,35.4004,116.55,China
Maceio,-9.62,-35.73,Brazil
Sofia,42.6833,23.3167,Bulgaria
Abbottabad,34.1495,73.1995,Pakistan
Benghazi,32.1167,20.0667,Libya
Cilacap,-7.7188,109.0154,Indonesia
Prague,50.0833,14.466,Czech Republic
Glasgow,55.8744,-4.2507,United Kingdom
Leshan,29.5671,103.7333,China
Jacksonville,30.3322,-81.6749, United States
Ouagadougou,12.3703,-1.5247,Burkina Faso
Ottawa,45.4167,-75.7,Canada
Adelaide,-34.935,138.6,Australia
Shangrao,28.4704,117.97,China
Torreon,25.5701,-103.42,Mexico
Srinagar,34.1,74.815,India
Bezwada,16.52,80.63,India
Samara,53.195,50.1513,Russia
Omsk,54.99,73.4,Russia
Newcastle,-32.8453,151.815,Australia
Yulin,22.63,110.15,China
Namp'o,38.7669,125.4524,"Korea, North"
Xianyang,34.3456,108.7147,China
Cagayan de Oro,8.4508,124.6853,Philippines
Can Tho,10.05,105.77,Vietnam
Barquisimeto,10.05,-69.3,Venezuela
Helsinki,60.1756,24.9341,Finland
Kazan,55.7499,49.1263,Russia
Aurangabad,19.8957,75.3203,India
Calgary,51.083,-114.08,Canada
Ciudad Nezahualcoyotl,19.41,-99.03,Mexico
Zurich,47.38,8.55,Switzerland
Baoding,38.8704,115.48,China
Zigong,29.4,104.78,China
Sharjah,25.3714,55.4065,United Arab Emirates
Yerevan,40.1812,44.5136,Armenia
Mogadishu,2.0667,45.3667,Somalia
Tbilisi,41.725,44.7908,Georgia
Ankang,32.68,109.02,China
Huambo,-12.75,15.76,Angola
Ikare,7.5304,5.76,Nigeria
Belgrade,44.8186,20.468,Serbia
Salt Lake City,40.7774,-111.93, United States
Bhilai,21.2167,81.4333,India
Jinhua,29.12,119.65,China
Chelyabinsk,55.155,61.4387,Russia
Natal,-5.78,-35.24,Brazil
Dushanbe,38.56,68.7739,Tajikistan
Copenhagen,55.6786,12.5635,Denmark
Changwon,35.2191,128.5836,South Korea
Zhuzhou,27.83,113.15,China
Suwon,37.2578,127.0109,South Korea
Nashville,36.1715,-86.7843, United States
Vereeniging,-26.6496,27.96,South Africa
Xiangyang,32.02,112.13,China
Memphis,35.1046,-89.9773, United States
Ulsan,35.5467,129.317,South Korea
Amman,31.95,35.9333,Jordan
Mizhou,35.99,119.3801,China
Richmond,37.5295,-77.4756, United States
Dublin,53.3331,-6.2489,Ireland
Edmonton,53.55,-113.5,Canada
Solapur,17.6704,75.9,India
Rostov-na-donu,47.2346,39.7127,Russia
Dnipro,48.48,35,Ukraine
Xining,36.62,101.77,China
Zhangjiakou,40.83,114.93,China
Lille,50.65,3.08,France
Ranchi,23.37,85.33,India
Gaziantep,37.075,37.385,Turkey
Monrovia,6.3106,-10.8048,Liberia
Sao Luis,-2.516,-44.266,Brazil
Amsterdam,52.35,4.9166,Netherlands
Jerusalem,31.7784,35.2066,Israel
New Orleans,30.0687,-89.9288, United States
Guatemala City,14.6211,-90.527,Guatemala
Zhuhai,22.2769,113.5678,China
Florianopolis,-27.58,-48.52,Brazil
Port Elizabeth,-33.97,25.6,South Africa
Jiamusi,46.83,130.35,China
Port Harcourt,4.81,7.01,Nigeria
Raleigh,35.8324,-78.6438, United States
Ufa,54.79,56.04,Russia
Hengyang,26.88,112.59,China
Benxi,41.3304,123.75,China
Louisville,38.1663,-85.6485, United States
Haifa,32.8204,34.98,Israel
Medina,24.5,39.58,Saudi Arabia
Bucaramanga,7.1301,-73.1259,Colombia
Maracay,10.2469,-67.5958,Venezuela
Rotterdam,51.92,4.48,Netherlands
Homs,34.73,36.72,Syria
Cologne,50.93,6.95,Germany
Qinhuangdao,39.9304,119.62,China
Fes,34.0546,-5.0004,Morocco
N'Djamena,12.1131,15.0491,Chad
Tegucigalpa,14.102,-87.2175,Honduras
Kingston,17.9771,-76.7674,Jamaica
Nay Pyi Taw,19.7666,96.1186,Burma
Djibouti,11.595,43.148,Djibouti
Managua,12.153,-86.2685,Nicaragua
Niamey,13.5167,2.1167,Niger
Tirana,41.3275,19.8189,Albania
Kathmandu,27.7167,85.3166,Nepal
Ulaanbaatar,47.9167,106.9166,Mongolia
Kigali,-1.9536,30.0605,Rwanda
Bishkek,42.8731,74.5852,Kyrgyzstan
Oslo,59.9167,10.75,Norway
Bangui,4.3666,18.5583,Central African Republic
Freetown,8.47,-13.2342,Sierra Leone
Islamabad,33.7,73.1666,Pakistan
Cotonou,6.4,2.52,Benin
Vientiane,17.9667,102.6,Laos
Riga,56.95,24.1,Latvia
Nouakchott,18.0864,-15.9753,Mauritania
Muscat,23.6133,58.5933,Oman
Ashgabat,37.95,58.3833,Turkmenistan
Zagreb,45.8,16,Croatia
Sarajevo,43.85,18.383,Bosnia And Herzegovina
Chisinau,47.005,28.8577,Moldova
Lilongwe,-13.9833,33.7833,Malawi
Asmara,15.3333,38.9333,Eritrea
Abu Dhabi,24.4667,54.3666,United Arab Emirates
Port Louis,-20.1666,57.5,Mauritius
Libreville,0.3854,9.458,Gabon
Manama,26.2361,50.5831,Bahrain
Vilnius,54.6834,25.3166,Lithuania
Skopje,42,21.4335,Macedonia
Bloemfontein,-29.12,26.2299,South Africa
Bratislava,48.15,17.117,Slovakia
Bissau,11.865,-15.5984,Guinea-Bissau
Tallinn,59.4339,24.728,Estonia
Wellington,-41.3,174.7833,New Zealand
Valletta,35.8997,14.5147,Malta
Maseru,-29.3167,27.4833,Lesotho
Nur-Sultan,51.1811,71.4278,Kazakhstan
Bujumbura,-3.3761,29.36,Burundi
Canberra,-35.283,149.129,Australia
New Delhi,28.6,77.2,India
Ljubljana,46.0553,14.515,Slovenia
Porto-Novo,6.4833,2.6166,Benin
Bandar Seri Begawan,4.8833,114.9333,Brunei
Port of Spain,10.652,-61.517,Trinidad And Tobago
Port Moresby,-9.4647,147.1925,Papua New Guinea
Bern,46.9167,7.467,Switzerland
Windhoek,-22.57,17.0835,Namibia
Georgetown,6.802,-58.167,Guyana
Paramaribo,5.835,-55.167,Suriname
Dili,-8.5594,125.5795,Timor-Leste
Nassau,25.0834,-77.35,"Bahamas, The"
Sucre,-19.041,-65.2595,Bolivia
Nicosia,35.1667,33.3666,Cyprus
Dodoma,-6.1833,35.75,Tanzania
Colombo,6.932,79.8578,Sri Lanka
Gaborone,-24.6463,25.9119,Botswana
Yamoussoukro,6.8184,-5.2755,Côte D’Ivoire
Bridgetown,13.102,-59.6165,Barbados
Suva,-18.133,178.4417,Fiji
Reykjavik,64.15,-21.95,Iceland
Malabo,3.75,8.7833,Equatorial Guinea
Willemstad,12.2004,-69.02,Curaçao
Podgorica,42.466,19.2663,Montenegro
Moroni,-11.7042,43.2402,Comoros
Sri Jayewardenepura Kotte,6.9,79.95,Sri Lanka
Praia,14.9167,-23.5167,Cabo Verde
Male,4.1667,73.4999,Maldives
Juba,4.83,31.58,South Sudan
Luxembourg,49.6117,6.13,Luxembourg
Thimphu,27.473,89.639,Bhutan
Mbabane,-26.3167,31.1333,Swaziland
Sao Tome,0.3334,6.7333,Sao Tome And Principe
Honiara,-9.438,159.9498,Solomon Islands
Oranjestad,12.5304,-70.029,Aruba
Apia,-13.8415,-171.7386,Samoa
Andorra la Vella,42.5,1.5165,Andorra
Kingstown,13.1483,-61.2121,Saint Vincent And The Grenadines
Port-Vila,-17.7334,168.3166,Vanuatu
Banjul,13.4539,-16.5917,"Gambia, The"
Nuku`alofa,-21.1385,-175.2206,Tonga
Castries,14.002,-61,Saint Lucia
Monaco,43.7396,7.4069,Monaco
Vaduz,47.1337,9.5167,Liechtenstein
Saint John's,17.118,-61.85,Antigua And Barbuda
Saint George's,12.0526,-61.7416,Grenada
Victoria,-4.6166,55.45,Seychelles
San Marino,43.9172,12.4667,San Marino
Tarawa,1.3382,173.0176,Kiribati
Majuro,7.103,171.38,Marshall Islands
Roseau,15.301,-61.387,Dominica
Basseterre,17.302,-62.717,Saint Kitts And Nevis
Belmopan,17.252,-88.7671,Belize
Pago Pago,-14.274,-170.7046,American Samoa
Lobamba,-26.4667,31.2,Swaziland
Funafuti,-8.5167,179.2166,Tuvalu
Palikir,6.9166,158.15,"Micronesia, Federated States Of"
Capitol Hill,15.2137,145.7546,Northern Mariana Islands
Hagta,13.4745,144.7504,Guam
Al Quds,31.7764,35.2269,West Bank
Philipsburg,18.0255,-63.045,Sint Maarten
Gitega,-3.4271,29.9246,Burundi
Pristina,42.6666,21.1724,Kosovo (Disputed Territory)
Ngerulmud,7.5,134.6242,Palau
Aden,12.7797,45.0095,Yemen
Cochabamba,-17.41,-66.17,Bolivia
Yongzhou,26.2304,111.62,China
Baoshan,25.12,99.15,China
Quang Ha,16.06,108.25,Vietnam
Kitaku,33.8704,130.82,Japan
Perm,58,56.25,Russia
Ahvaz,31.28,48.72,Iran
Jodhpur,26.2918,73.0168,India
San Luis Potosi,22.17,-101,Mexico
Odessa,46.49,30.71,Ukraine
Yinchuan,38.468,106.273,China
Jiaxing,30.7704,120.75,China
Joinvile,-26.32,-48.8399,Brazil
Donets'k,48,37.83,Ukraine
Guilin,25.28,110.28,China
Dahuk,36.8667,43,Iraq
Volgograd,48.71,44.5,Russia
Guwahati,26.16,91.77,India
Yichun,27.8333,114.4,China
Yangquan,37.87,113.57,China
Natal,-6.9838,-60.2699,Brazil
Chandigarh,30.72,76.78,India
Gwalior,26.23,78.1801,India
Hamamatsu,34.7181,137.7327,Japan
Qom,34.65,50.95,Iran
Jixi,45.3,130.97,China
Merida,20.9666,-89.6166,Mexico
Xin'an,34.38,118.35,China
Queretaro,20.63,-100.38,Mexico
Pingxiang,27.62,113.85,China
Joao Pessoa,-7.1011,-34.8761,Brazil
Klang,3.0204,101.55,Malaysia
Jinzhou,41.1204,121.1,China
Oklahoma City,35.4676,-97.5137, United States
Salerno,40.6804,14.7699,Italy
Thiruvananthapuram,8.5,76.95,India
Calicut,11.2504,75.77,India
Trichinopoly,10.81,78.69,India
Ogbomoso,8.13,4.24,Nigeria
General Santos,6.1108,125.1747,Philippines
Hue,16.47,107.58,Vietnam
Bacolod,10.6317,122.9817,Philippines
Nantong,32.0304,120.825,China
Foshan,23.0301,113.12,China
Songnam,37.4386,127.1378,South Korea
Bridgeport,41.1918,-73.1953, United States
Nice,43.715,7.265,France
Buffalo,42.9017,-78.8487, United States
Erbil (Irbil),36.179,44.0086,Iraq
Krasnoyarsk,56.014,92.866,Russia
Olinda,-8,-34.85,Brazil
Antwerp,51.2204,4.415,Belgium
Konya,37.875,32.475,Turkey
Bogor,-6.57,106.75,Indonesia
Hartford,41.7661,-72.6834, United States
Huaibei,33.9504,116.75,China
Xinyu,27.8,114.93,China
Teresina,-5.095,-42.78,Brazil
Naha,26.2072,127.673,Japan
Goyang,37.6527,126.8372,South Korea
Nangandao,35.3204,113.87,China
Yibin,28.77,104.57,China
Aba,5.1004,7.35,Nigeria
Maiduguri,11.85,13.16,Nigeria
Az Zarqa',32.07,36.1,Jordan
Tarsus,36.9204,34.88,Turkey
Bengbu,32.95,117.33,China
Mendoza,-32.8833,-68.8166,Argentina
Hubli,15.36,75.125,India
Concepcion,-36.83,-73.05,Chile
Zaria,11.08,7.71,Nigeria
Dengtalu,36.08,114.35,China
Cartagena,10.3997,-75.5144,Colombia
Mysore,12.31,76.66,India
Mexicali,32.65,-115.48,Mexico
Tongliao,43.62,122.27,China
Mombasa,-4.04,39.6899,Kenya
Newcastle upon Tyne,55.0004,-1.6,United Kingdom
Novo Hamburgo,-29.7096,-51.14,Brazil
Callao,-12.07,-77.135,Peru
Bilbao,43.25,-2.93,Spain
Johor Bahru,1.48,103.73,Malaysia
Raipur,21.235,81.635,India
Xiaoxita,30.7,111.28,China
Fort Worth,32.7812,-97.3472, United States
Salem,11.67,78.1801,India
Yangjiang,21.8504,111.97,China
Marrakech,31.63,-8,Morocco
Kaifeng Chengguanzhen,34.85,114.35,China
Dandong,40.1436,124.3936,China
Al Basrah,30.5135,47.8136,Iraq
Aguascalientes,21.8795,-102.2904,Mexico
Tucson,32.1545,-110.8782, United States
Okayama,34.672,133.9171,Japan
Bucheon,37.4989,126.7831,South Korea
Xuanzhou,30.9525,118.7553,China
Bandar Lampung,-5.43,105.27,Indonesia
Rizhao,35.4304,119.45,China
Palermo,38.125,13.35,Italy
Caerdydd,51.5,-3.225,United Kingdom
Tampico,22.3,-97.87,Mexico
Jiaozuo,35.25,113.22,China
Padang,-0.96,100.36,Indonesia
